"","DATE","revenue","tv_spend","facebook_spend","social_spend","search_spend","tv_imp","facebook_imp","social_imp","search_imp","competitor_sales","newsletter"
"17",2016-03-14,1605990,148293.3,82489,0,17800,0,0,0,17065.2347626397,4938630,5311
"18",2016-03-21,1356010,0,0,0,17200,0,0,0,21110.4573525488,4520383,7428
"19",2016-03-28,2103936.66666667,0,123916,101845.666666667,19000,118448182.943201,80241679.4620443,194131.452155839,18271.1453880183,4506918,10025
"20",2016-04-04,1120835,0,0,0,14300,2096075.58944328,3439178.32292279,625.119342115275,13909.6565939253,3738504,9460
"21",2016-04-11,1141140,0,124526,0,14000,0,0,0,13329.7718956368,3768926,2964
"22",2016-04-18,1166880,83450.5,0,0,13400,16505748.276037,28249364.1045741,70460.6355991445,17090.7233280363,3663385,11663
"23",2016-04-25,888806.666666667,0,0,0,13500,0,0,0,12314.6742164972,2960479,6317
"24",2016-05-02,898873.333333333,0,0,93889.3333333333,9500,0,0,0,11055.0434847595,2861890,5408
"25",2016-05-09,889373.333333334,0,93671,0,10700,0,0,0,13268.1427125586,2941465,1900
"26",2016-05-16,1915375,0,0,0,0,57154378.570864,50755966.7683567,110217.923219335,0,3039148,19401.6538461538
"27",2016-05-23,1006845,0,233330,0,0,0,0,0,0,3292482,19401.6538461538
"28",2016-05-30,869198.333333334,0,0,0,10100,0,0,0,13697.3625576124,2895248,9003
"29",2016-06-06,727250,0,0,0,9000,0,0,0,9330.99615876563,2427455,4305
"30",2016-06-13,753730,0,0,0,11400,0,0,0,14439.943109639,2516566,7217
"31",2016-06-20,999196.666666667,153542.9,232328,0,12200,40215150.7340141,33454960.6557654,76594.6754399115,13426.1853670003,3012353,1983
"32",2016-06-27,845843.333333333,0,0,0,11300,0,0,0,11025.0915131764,2826660,3437
"33",2016-07-04,1126016.66666667,75907.6,0,38763,13100,0,0,0,13000.9753927588,3489775,4147
"34",2016-07-11,1140978.33333333,0,0,0,14300,0,0,0,17558.7421924574,3807127,8479
"35",2016-07-18,1242656.66666667,14253.1,599331,35855,10700,24901204.0571775,33729872.8687114,106584.448704671,12646.6102778097,3824504,6348
"36",2016-07-25,1293483.33333333,0,0,0,14600,0,0,0,18869.8338730028,4307032,13762
"37",2016-08-01,1484843.33333333,211351.9,307907,0,17100,40132931.0409945,53605561.3881105,153060.942473233,20555.155102862,4396674,11841
"38",2016-08-08,1485698.33333333,0,0,6058.33333333333,19000,0,0,0,21913.056334795,4941143,17162
"39",2016-08-15,1556608.33333333,214730.1,0,0,0,22679124.1375043,15373941.6231327,30356.3307500258,0,4762083,19401.6538461538
"40",2016-08-22,1391206.66666667,0,0,104848,0,16616664.3103336,11664166.5346404,19255.1815540065,0,4409483,19401.6538461538
"41",2016-08-29,2018783.33333333,179933.7,299336,0,23100,0,0,0,27453.5393575206,6065021,2453
"42",2016-09-05,2170721.66666667,159463.8,164644,23110.3333333333,23800,5817300.78609964,3879870.3646725,1883.90732940523,21811.126985494,6512777,3186
"43",2016-09-12,2247670,0,300217,0,25000,0,0,0,30396.4989346336,7311071,11247
"44",2016-09-19,2192026.66666667,0,61302,191524.666666667,25500,40873126.509642,54564098.3619797,136128.542979335,31697.6806069724,6652807,15280
"45",2016-09-26,1895213.33333333,0,304454,0,22300,0,0,0,22420.1181496028,6168548,2886
"46",2016-10-03,2232910,1084024.8,228506,73598.6666666667,25300,42269953.2206591,42679536.9426691,94415.0307843027,28940.1273785625,6395275,14067
"47",2016-10-10,2406035,0,0,80428.3333333333,29900,35922854.0468956,46050657.171974,108425.00086987,37640.4867839068,7711902,24098
"48",2016-10-17,2252445,610420.1,55867,0,27900,70554173.3660442,61417892.420928,159732.51880587,36705.0621011294,6734048,26550
"49",2016-10-24,2663125,0,297961,70207.3333333333,30600,80664310.2921219,63942540.2611415,175977.688101301,31599.3953431025,8356638,17728
"50",2016-10-31,2974771.66666667,704960.9,0,0,36700,83116166.1785816,71765591.9360446,192222.857396732,34659.9239814561,8937615,13989
"51",2016-11-07,2826128.33333333,0,267379,86578.6666666667,31200,79904060.3505404,64033311.3669239,208648.339566018,42223.9926952869,8832206,29426
"52",2016-11-14,3182900,392432.9,0,0,0,65212583.127583,52199572.1605198,159960.46149546,0,9584624,19401.6538461538
"53",2016-11-21,2964696.66666667,52177.9,271909,54698,0,99559990.1589304,80485549.8926248,200462.815518938,0,9029457,19401.6538461538
"54",2016-11-28,2848525,0,0,31072,71500,34353646.1278728,53736753.4976524,141956.391147518,73955.9563237708,9334174,27941
"55",2016-12-05,2740160,106908,448276,0,63000,30310806.1422349,21469926.0322354,49694.0359385557,65123.9879303263,8234498,51273
"56",2016-12-12,2380508.33333333,0,0,0,55100,26206406.7892378,29472934.6021818,90910.8371980631,52768.8606138225,7904539,19606
"57",2016-12-19,2230915,0,627975,0,51700,9458112.91923621,14122124.6898919,30356.3307500258,47686.7842705688,7127441,4453
"58",2016-12-26,3659425,807907.6,0,0,58000,46771254.7035298,68537049.499028,216796.440186449,77849.5859956718,7730351,559
"59",2017-01-02,2827008.33333333,307907.6,850680,209986,55300,78117446.7621898,58171140.2101937,128436.327738085,58179.8415290192,7498330,46507
"60",2017-01-09,2042143.33333333,0,0,0,53100,31365323.9381466,58671678.0297663,164189.308706815,63213.96521274,6815506,21771
"61",2017-01-16,2113358.33333333,44349.7,0,11517.3333333333,50300,77323647.4245211,56039474.6180184,179631.575394137,61912.6340950141,6701008,35351
"62",2017-01-23,2179918.33333333,0,0,80857.3333333333,52500,69833889.1656402,86758062.4439567,195073.842081459,61384.3735386268,6998027,13998
"63",2017-01-30,2370613.33333333,301837.2,0,0,54200,38118490.5760223,60054669.933808,128419.317089608,68123.1128736865,7097324,27415
"64",2017-02-06,1814556.66666667,0,0,0,41900,0,0,0,44602.7678886778,6048680,4085
"65",2017-02-13,1951668.33333333,0,239482,0,0,122952616.920943,88205178.523459,247813.656619212,0,6290401,19401.6538461538
"66",2017-02-20,1918238.33333333,0,0,80182.6666666667,0,0,0,0,0,6137639,19401.6538461538
"67",2017-02-27,1472390,0,0,0,33800,151074879.865382,142691898.236843,417018.577018849,37539.2049168586,4802056,26556
"68",2017-03-06,1477865,0,0,105208.333333333,35000,0,0,0,46462.9932110896,4688746,12272
"69",2017-03-13,1300166.66666667,77706.6,0,0,31600,0,0,0,41198.0192044634,4119318,25992
"70",2017-03-20,1160205,0,0,148903.666666667,28300,0,0,0,29804.3185175164,3618373,22696
"71",2017-03-27,1356871.66666667,0,45893,0,36000,41876347.3537736,31147280.4197855,78476.0531614557,45902.2299264791,4476843,26404
"72",2017-04-03,1355833.33333333,0,0,0,34200,0,0,0,31975.8003692958,4523389,1245
"73",2017-04-10,1176266.66666667,0,938178,0,27500,0,0,0,25465.6486649765,3711150,1126
"74",2017-04-17,1955281.66666667,56017.9,0,0,26600,0,0,0,27251.5033966629,3057885,11966
"75",2017-04-24,1029928.33333333,0,555290,0,24500,0,0,0,26141.4614144713,3309344,17897
"76",2017-05-01,2263143.33333333,274671.9,0,0,19500,0,0,0,22180.0382538233,2826863,6052
"77",2017-05-08,813771.666666667,0,574399,0,20100,0,0,0,18525.6157668773,2604828,9055
"78",2017-05-15,880871.666666667,0,0,0,0,0,0,0,0,2940496,19401.6538461538
"79",2017-05-22,919185,0,76887,0,0,48390995.0666998,46342101.0346245,119356.043581121,0,3024982,19401.6538461538
"80",2017-05-29,826321.666666667,0,0,53810.3333333333,16300,0,0,0,18580.0929101184,2681061,5778
"81",2017-06-05,833798.333333333,68441,79663,0,20100,22016097.4372018,38495441.9203474,92761.5957523489,18758.7124304613,2609725,1988
"82",2017-06-12,746271.666666667,0,0,0,16700,0,0,0,22062.2629647143,2487079,4794
"83",2017-06-19,1036406.66666667,271947.6,0,0,23800,1827393.87959699,3288608.26981708,938.115274090074,26777.6025767438,3149223,5180
"84",2017-06-26,927931.666666667,0,297435,34945.6666666667,20000,0,0,0,20789.3458186649,2963072,1048
"85",2017-07-03,1126943.33333333,34205.7,0,71798,28400,59752192.7253204,75117628.1836547,199503.414944841,37944.4648875156,3485135,10977
"86",2017-07-10,1184220,0,0,0,27900,0,0,0,35559.57852297,3950566,6813
"87",2017-07-17,1315508.33333333,73978.5,202840,187181.333333333,28900,0,0,0,33056.51740256,3800790,2361
"88",2017-07-24,1279360,0,0,0,29000,0,0,0,34686.8114445359,4264348,15114
"89",2017-07-31,1455811.66666667,85386.9,385200,10893.3333333333,34000,0,0,0,38038.5555319372,4429446,10044
"90",2017-08-07,1553355,0,196624,71004.3333333333,40200,0,0,0,53676.1890052003,4916984,8930
"91",2017-08-14,1374855,255352.9,0,0,0,0,0,0,0,4198833,19401.6538461538
"92",2017-08-21,1970110,0,0,85111.3333333333,0,18891115.0836062,19322483.2131345,40280.3430714441,0,6276021,19401.6538461538
"93",2017-08-28,2336431.66666667,884168.4,0,0,52500,18144950.2354126,14227048.4859357,26967.809573429,70335.0747198681,7010039,33712
"94",2017-09-04,2002065,0,0,0,48700,0,0,0,44809.8245683359,6679241,20000
"95",2017-09-11,2027418.33333333,366519.5,281559,34577.6666666667,41900,7363466.14793804,8110862.43322492,18653.0045979246,46999.408028496,5890204,2265
"96",2017-09-18,1886570,0,0,0,48300,0,0,0,55166.2694267929,6289814,15924
"97",2017-09-25,2529721.66666667,627478.8,271057,0,57300,39322683.3692799,31678562.482944,75870.0218147959,72998.5609077732,7410667,24336
"98",2017-10-02,2357930,834783.4,109431,0,55100,0,0,0,69679.8337596352,7799073,29510
"99",2017-10-09,3003391.66666667,334783.4,613568,138787,60100,81843817.4658022,58082600.284394,160457.172430985,55293.3577954536,8147766,15458
"100",2017-10-16,2283685,0,0,0,56900,63780812.6841533,44812187.3033051,125711.221852087,72764.8309726617,7617066,43966
"101",2017-10-23,2584721.66666667,332703.8,86421,0,59400,38323831.8638642,64280547.0084809,141956.391147518,69347.5311740767,7756047,35016
"102",2017-10-30,2565400,34839.2,0,0,63500,84192412.9582875,67034964.424165,158201.560442949,73130.1311748102,8307903,4749
"103",2017-11-06,3407085,158617.6,597233,172799.333333333,73700,49105374.4665664,39944030.3660624,106584.448704671,78990.717115812,9283504,25943
"104",2017-11-13,2803291.66666667,0,0,0,0,140564160.602558,95672835.508679,228003.055403025,0,9355428,19401.6538461538
"105",2017-11-20,3303155,414205,197447,10095.6666666667,0,54145138.3499508,36587638.0554736,98398.9246575906,0,9662004,19401.6538461538
"106",2017-11-27,3103743.33333333,0,0,72013.3333333333,112600,34547307.1181424,35527833.911727,73913.7972399534,110717.903697491,9984742,41469
"107",2017-12-04,2793875,216926.6,164704,0,95500,23470339.183314,22479813.6238963,49694.0359385557,91229.4187103398,8430013,16136
"108",2017-12-11,2260396.66666667,0,0,0,83400,40147237.161377,31416253.7246704,90910.8371980631,81708.9871899691,7544173,37784
"109",2017-12-18,2399176.66666667,478117.9,172203,0,87500,10795433.5741735,14540176.2849391,30356.3307500258,97406.951926765,7267249,43251
"110",2017-12-25,3827520,678117.9,0,112758.333333333,75600,46229832.3129005,69049248.2164542,216796.440186449,90029.6800429118,6834014,57523
"111",2018-01-01,3109461.66666667,0,0,39687.6666666667,79900,31138363.0265859,43210526.9236781,128436.327738085,99917.8757320158,6891431,77617
"112",2018-01-08,2228128.33333333,0,7401,0,81300,42186055.4834964,66804744.2804219,164189.308706815,101549.432734994,7355344,74527
"113",2018-01-15,2202593.33333333,293169.3,0,116105,75600,0,0,0,95898.9718822413,6360391,10394
"114",2018-01-22,1918293.33333333,0,106521,145105.666666667,69200,0,0,0,67393.7613605172,5937052,9740
"115",2018-01-29,1862458.33333333,188769,0,0,67200,0,0,0,76315.5359531636,5721235,13533
"116",2018-02-05,1975951.66666667,0,0,35601,79600,12656491.5234164,8899204.04320396,14189.4104375883,96828.8513237611,6467565,56102
"117",2018-02-12,1827318.33333333,68739.1,101598,0,0,0,0,0,0,5749120,19401.6538461538
"118",2018-02-19,1656268.33333333,0,0,47335.6666666667,0,0,0,0,0,5389739,19401.6538461538
"119",2018-02-26,1703790,92670.8,105321,75021,55600,0,0,0,75508.862257062,5114017,19325
"120",2018-03-05,1488115,0,0,0,55200,0,0,0,68384.0441960376,4961257,18078
"121",2018-03-12,1727330,398401.9,169883,153651,53100,0,0,0,54808.7357739452,4823884,8711
"122",2018-03-19,1208246.66666667,0,0,0,44700,0,0,0,53429.6932054916,4036244,12979
"123",2018-03-26,1388960,148078.8,153591,22418.6666666667,47500,0,0,0,44222.3702089861,4191403,23910
"124",2018-04-02,2408331.66666667,0,0,0,41400,0,0,0,55400.0398074277,3583995,10567
"125",2018-04-09,1131721.66666667,0,21108,0,44800,0,0,0,55494.3615718628,3771321,41329
"126",2018-04-16,950015,0,0,0,37300,31318299.8119637,21011312.2800328,63397.8143515393,50425.5652597756,3167512,21616
"127",2018-04-23,801298.333333333,0,296913,0,27700,0,0,0,36824.0709337872,2604407,2529
"128",2018-04-30,779838.333333334,0,0,0,23800,82439780.3099318,145985945.052684,384017.91897368,28654.6271698549,2549137,6836
"129",2018-05-07,889546.666666667,0,111889,0,35400,0,0,0,45582.2769385064,2937422,330
"130",2018-05-14,862850,0,0,51027.3333333333,0,89346492.5358647,145131039.850826,391213.423279405,0,2752045,19401.6538461538
"131",2018-05-21,2601601.66666667,7103.3,49291,0,0,0,0,0,0,3080867,19401.6538461538
"132",2018-05-28,905008.333333334,0,0,31540.6666666667,34800,13023733.0780066,14870672.2380059,30271.2775076413,37990.5313677155,2957153,28568
"133",2018-06-04,910551.666666667,0,0,0,35400,0,0,0,48237.866062019,3035519,26708
"134",2018-06-11,923853.333333333,62360.1,0,40685,34000,0,0,0,31886.2197190407,2885659,7675
"135",2018-06-18,982420,0,32743,0,40600,0,0,0,48085.8936119825,3263336,23355
"136",2018-06-25,1056811.66666667,0,0,77881,38700,56473206.4044752,39206418.5757693,112708.282156352,39747.6970095187,3369140,16989
"137",2018-07-02,932326.666666667,109664.6,315190,0,29500,0,0,0,31870.3571395949,2839892,14653
"138",2018-07-09,1126221.66666667,0,0,86159.3333333333,38900,60672486.3439341,102710071.745579,242394.064014475,43367.5222745631,3555964,15143
"139",2018-07-16,1140006.66666667,66418.4,111596,0,38600,0,0,0,45860.1295919507,3590008,9013
"140",2018-07-23,1479303.33333333,72966.7,0,38795,51900,0,0,0,47370.3686917201,4606123,22477
"141",2018-07-30,1647193.33333333,0,0,0,58100,0,0,0,77832.9975726083,5494567,8906
"142",2018-08-06,2009478.33333333,97811.2,173577,54001,65800,0,0,0,76885.4765508091,6045317,59318
"143",2018-08-13,1523443.33333333,0,0,0,0,75714999.1600183,54622076.0975545,133522.511632676,0,5035305,19401.6538461538
"144",2018-08-20,1420118.33333333,461723.4,199560,0,0,0,0,0,0,4208615,19401.6538461538
"145",2018-08-27,1673551.66666667,0,0,0,64400,65278894.1214482,43864423.4544594,135254.195647623,82233.5245184368,5541654,48020
"146",2018-09-03,2061091.66666667,87460.6,127900,5793.33333333333,73000,0,0,0,93587.085595727,6397383,70855
"147",2018-09-10,2144110,0,0,4020,78800,0,0,0,90903.0514674727,7137648,46225
"148",2018-09-17,2058653.33333333,0,86476,72638,70200,61829755.683959,41405945.3421831,102086.833247381,94015.6888773199,6541298,74995
"149",2018-09-24,2208345,6659.5,54975,0,81700,0,0,0,96795.503829699,7283453,1047
"150",2018-10-01,2603008.33333333,1175275.8,49176,20238.3333333333,92600,8554678.28429734,11394121.8209777,27505.3460652988,106126.994738053,7884994,34469
"151",2018-10-08,2313193.33333333,0,0,19423.6666666667,86200,30056832.8764154,20322166.6378081,60475.3849432094,109267.152263969,7610669,22232
"152",2018-10-15,2813106.66666667,333671.4,118326,7793.33333333333,95700,50614496.498331,35763073.0249146,73277.5989869177,91340.1751276106,8364119,49409
"153",2018-10-22,2665110,0,0,0,101200,0,0,0,97560.5653738603,8898789,49575
"154",2018-10-29,2947875,189674.8,0,15961,103500,80348347.6318734,91549168.7893118,237954.284762006,122740.647742513,8887808,42276
"155",2018-11-05,2768941.66666667,0,272610,10916.3333333333,105400,0,0,0,118564.717831719,8982377,25332
"156",2018-11-12,2666240,430131.9,0,0,0,128709194.584781,117062263.807058,261854.245872038,0,7958631,19401.6538461538
"157",2018-11-19,2559550,0,88225,0,0,0,0,0,0,8467716,19401.6538461538
"158",2018-11-26,2653766.66666667,401439,0,113471,120000,82115192.4478528,65751650.8720504,210107.853205335,156564.384643268,7536793,301
"159",2018-12-03,2144703.33333333,0,100423,0,104900,0,0,0,114123.514524079,7097277,34832
"160",2018-12-10,2451681.66666667,0,0,47120,118300,0,0,0,151823.007320345,7989344,68792
"161",2018-12-17,2469486.66666667,0,28807,0,116600,0,0,0,114071.928355144,8215719,37199
"162",2018-12-24,3208150,1185349.3,0,55889.6666666667,128600,99345582.7751557,96601553.4034517,272040.222180001,150402.982508403,8125604,80865
"163",2018-12-31,2746851.66666667,385349.3,0,0,108700,0,0,0,104634.475661954,7314043,54011
"164",2019-01-07,2566165,0,618,6777,127700,24207747.3870444,19817822.402767,44274.4433338182,121001.5988881,8498273,96236
"165",2019-01-14,2554828.33333333,86879.8,0,5513.33333333333,122200,0,0,0,111908.358826267,8027598,80627
"166",2019-01-21,1959706.66666667,0,51141,21901.6666666667,103600,25483248.8602979,31145830.8214119,85845.0660816449,117177.888404019,6399576,629
"167",2019-01-28,2424486.66666667,237573,0,0,114000,0,0,0,118231.102502625,7415825,19984
"168",2019-02-04,1953060,0,0,32040.3333333333,104400,0,0,0,141999.14495789,6396016,55736
"169",2019-02-11,2086935,95421.3,0,8939.33333333333,0,31293465.8403731,24004461.6457822,63309.3589794594,0,6492811,19401.6538461538
"170",2019-02-18,1675816.66666667,0,0,3762.66666666667,0,0,0,0,0,5588194,19401.6538461538
"171",2019-02-25,1976413.33333333,135907.2,57906,4843.66666666667,91400,1129570.19968323,1532956.80029679,0,88530.3940853686,6078682,46243
"172",2019-03-04,1480760,0,0,0,74600,0,0,0,74092.1597032109,4933396,36979
"173",2019-03-11,1425500,41177.4,0,0,67800,0,0,0,82059.7834656947,4597321,23990
"174",2019-03-18,1156860,0,0,0,53700,84751415.8505111,83179409.7629757,183622.273526816,55251.9175169058,3818999,16046
"175",2019-03-25,1252230,26125.4,10810,0,59800,0,0,0,70906.0407303274,4083211,28980
"176",2019-04-01,1209373.33333333,0,0,0,59100,47900350.4826531,35494120.2503475,99259.6634705213,73888.3865262265,4017170,7453
"177",2019-04-08,1183801.66666667,359173.6,3857,0,55900,0,0,0,67424.7476038523,3588301,37507
"178",2019-04-15,918593.333333333,0,0,22471.6666666667,48000,0,0,0,65246.2457488291,3026520,43718
"179",2019-04-22,2303595,36588,0,0,47000,26361042.5234118,19361443.7325485,47907.9178484821,51481.4598927391,3140648,1167
"180",2019-04-29,890675,0,0,93494.3333333333,42200,34152504.611665,31687579.0119844,75393.723657443,55800.883550942,2828444,1546
"181",2019-05-06,989913.333333334,27719.2,0,0,54600,0,0,0,56108.4685251117,3221944,34861
"182",2019-05-13,915791.666666667,0,0,15928,0,89575067.3183721,65207240.8248195,193651.751868791,0,2992910,19401.6538461538
"183",2019-05-20,746205,219302.9,10817,28421.6666666667,0,0,0,0,0,2251073,19401.6538461538
"184",2019-05-27,723785,0,6877,0,39100,0,0,0,40124.0952768712,2412562,21000
"185",2019-06-03,903125,0,0,10439.3333333333,46500,0,0,0,54839.6903624525,2989592,19903
"186",2019-06-10,672250,0,0,0,31100,4042491.66704555,3909308.61749337,1485.85815504597,30502.6915288298,2240235,8031
"187",2019-06-17,739783.333333334,0,0,0,36100,0,0,0,36154.6542802826,2467712,20173
"188",2019-06-24,831833.333333334,46203.6,0,0,37000,0,0,0,48423.8619139418,2672133,26938
"189",2019-07-01,939896.666666667,0,0,0,47900,0,0,0,48153.03818963,3132194,8713
"190",2019-07-08,946510,39527.7,0,0,46000,0,0,0,45335.2228242904,3060018,17384
"191",2019-07-15,1063913.33333333,0,124622,0,57900,0,0,0,76716.4668024285,3505139,4153
"192",2019-07-22,1278223.33333333,90371.3,0,0,63900,16990175.2585373,29956231.0561007,85804.2405253004,77347.9166491889,4004072,25861
"193",2019-07-29,1500828.33333333,0,72061,0,71400,0,0,0,75327.0770969219,4982078,1820
"194",2019-08-05,1843118.33333333,97574.8,0,0,81100,219907708.547528,178298272.914578,462011.742240227,104317.933903763,5672763,40473
"195",2019-08-12,1443773.33333333,0,63650,0,0,0,0,0,0,4783227,19401.6538461538
"196",2019-08-19,1397435,0,0,24152,0,60124263.4379661,98316054.5946602,292347.534331714,0,4520254,19401.6538461538
"197",2019-08-26,1930413.33333333,0,72229,0,97400,0,0,0,113575.402136485,6397749,48083
"198",2019-09-02,2106968.33333333,1698.1,0,102983.666666667,96000,32094576.864278,40745397.7592359,121138.759541499,117697.775200114,6637702,34061
"199",2019-09-09,2233758.33333333,369508.5,7959,0,103200,0,0,0,137929.668313847,6774864,31325
"200",2019-09-16,2575148.33333333,0,21491,109532.333333333,120700,18946222.6601058,18984811.7007357,39926.5215831248,155722.986344923,8116568,70417
"201",2019-09-23,2510951.66666667,208627.1,0,0,115700,0,0,0,145612.54134248,7702931,50905
"202",2019-09-30,2275620,0,58979,147067,110100,0,0,0,129677.555932966,7060116,79428
"203",2019-10-07,2505161.66666667,144479.6,0,0,115100,108683678.467687,141452747.101691,415793.810328513,127530.226540496,7603752,58284
"204",2019-10-14,2456240,0,60433,153723.666666667,112100,0,0,0,152840.323412162,7612762,28157
"205",2019-10-21,2182825,154917.6,0,0,103700,28820400.3058819,56881962.2352079,133624.575523537,103680.047820637,6701667,10644
"206",2019-10-28,2377706.66666667,21982.5,14094,17476,114700,0,0,0,138387.704137643,7688920,9597
"207",2019-11-04,2732825,22453,0,24051.3333333333,134100,0,0,0,151707.990462205,8815710,90189
"208",2019-11-11,2767788.33333333,0,0,0,0,185593195.765354,127981119.765239,366190.759369898,0,9067759,19401.6538461538
